agencycode,agencyname,bureaucode,bureauname,accountcode,accountname,treasurycode,subfunctioncode,subfunctiontitle,beacat,onoffbudget,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,2023y,y2024,y2025
1,Legislative Branch,0,Legislative Branch,,"Receipts, Central fiscal operations",,803,Central fiscal operations,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,0,Legislative Branch,,"Receipts, Central fiscal operations",,908,Other interest,N,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,0,Legislative Branch,241400,Charges for services to trust funds,,803,Central fiscal operations,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,0,Senate,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,100,"Compensation of Members, Senate",0,801,Legislative functions,M,On-budget,24000,24000,24000,24000,24000,25000,25000,24000,24000,24000,24000
1,Legislative Branch,5,Senate,101,Mileage of the Vice President and Senators,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,107,"Expense allowances of the Vice President, President Pro Tempore, Majority and Minority Leaders and Majority and Minority Whips",0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,108,Representation allowances for the Majority and Minority Leaders,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,110,"Salaries, Officers and Employees",0,801,Legislative functions,D,On-budget,172000,174000,177000,195000,208000,216000,224000,224000,224000,224000,224000
1,Legislative Branch,5,Senate,115,Payments to widows and heirs of deceased members of Congress,0,801,Legislative functions,M,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,123,Miscellaneous Items,0,801,Legislative functions,D,On-budget,22000,21000,21000,19000,19000,19000,21000,21000,21000,21000,21000
1,Legislative Branch,5,Senate,126,Secretary of the Senate,0,801,Legislative functions,D,On-budget,6000,9000,11000,11000,10000,15000,10000,10000,10000,10000,10000
1,Legislative Branch,5,Senate,127,Sergeant at Arms and Doorkeeper of the Senate,0,801,Legislative functions,D,On-budget,130000,130000,127000,130000,127000,129000,140000,140000,140000,140000,140000
1,Legislative Branch,5,Senate,128,Inquiries and Investigations,0,801,Legislative functions,D,On-budget,133000,133000,133000,133000,133000,133000,133000,133000,133000,133000,133000
1,Legislative Branch,5,Senate,129,Expenses of United States Senate Caucus on International Narcotics Control,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,130,Senators' Official Personnel and Office Expense Account,0,801,Legislative functions,D,On-budget,390000,395000,395000,424000,429000,449000,481000,481000,481000,481000,481000
1,Legislative Branch,5,Senate,132,Official mail costs,0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
1,Legislative Branch,5,Senate,140,Stationery (revolving fund),0,801,Legislative functions,D,On-budget,0,0,0,0,0,0,0,0,0,0,0
